Settle OptSpec Strike Maturity OptPrice AssetPrice Rate
2020-05-14 put 2.45 2020-05-27 0.0006 2.831 0.015
2020-05-14 put 2.5 2020-05-27 0.0006 2.831 0.015
2020-05-14 put 2.55 2020-05-27 0.0008 2.831 0.015
2020-05-14 put 2.6 2020-05-27 0.0016 2.831 0.015
2020-05-14 put 2.65 2020-05-27 0.0021 2.831 0.015
2020-05-14 put 2.7 2020-05-27 0.005 2.831 0.015
2020-05-14 put 2.75 2020-05-27 0.0112 2.831 0.015
2020-05-14 put 2.8 2020-05-27 0.0256 2.831 0.015
2020-05-14 call 2.85 2020-05-27 0.0223 2.831 0.015
2020-05-14 call 2.9 2020-05-27 0.0088 2.831 0.015
2020-05-14 call 2.95 2020-05-27 0.0034 2.831 0.015
2020-05-14 call 3.0 2020-05-27 0.0014 2.831 0.015
2020-05-14 call 3.1 2020-05-27 0.0005 2.831 0.015
